stage,date,time_msk
1/16 финала,28.06.2026,22:00
1/16 финала,29.06.2026,20:00
1/16 финала,29.06.2026,23:30
1/16 финала,30.06.2026,04:00
1/16 финала,30.06.2026,20:00
1/16 финала,01.07.2026,00:00
1/16 финала,01.07.2026,04:00
1/16 финала,01.07.2026,19:00
1/16 финала,01.07.2026,23:00
1/16 финала,02.07.2026,03:00
1/16 финала,02.07.2026,22:00
1/16 финала,03.07.2026,02:00
1/16 финала,03.07.2026,06:00
1/16 финала,03.07.2026,21:00
1/16 финала,04.07.2026,01:00
1/16 финала,04.07.2026,04:30
1/8 финала,04.07.2026,20:00
1/8 финала,05.07.2026,00:00
1/8 финала,05.07.2026,23:00
1/8 финала,06.07.2026,03:00
1/8 финала,06.07.2026,22:00
1/8 финала,07.07.2026,03:00
1/8 финала,07.07.2026,19:00
1/8 финала,07.07.2026,23:00
Четвертьфинал,09.07.2026,23:00
Четвертьфинал,10.07.2026,22:00
Четвертьфинал,12.07.2026,00:00
Четвертьфинал,12.07.2026,04:00
Полуфинал,14.07.2026,22:00
Полуфинал,15.07.2026,22:00
Матч за 3-е место,19.07.2026,00:00
Финал,19.07.2026,22:00
